date,time,bytes,bytes_per_sec,msgs,msgs_per_sec,success,error,lat_count,lat_avg,lat_max,lat_histo_samples,lat_histo_min,lat_histo_max,lat_histo_mean,lat_histo_stddev,lat_histo_median,lat_histo_p75,lat_histo_p95,lat_histo_p98,lat_histo_p99,lat_histo_p999,topics
2018-07-31,15:53:07,3147610650,53349333,15169140,257104,15169144,0,15169146,176,803,14901359,26,803,176.81,74.01,174.00,227.00,286.00,332.00,402.00,612.00,1000
2018-07-31,15:54:07,3145811846,52430197,15160590,252676,15160589,0,15160588,181,2020,14927994,24,2020,181.22,94.84,175.00,228.00,291.00,360.00,454.00,1380.00,1000
2018-07-31,15:55:07,3144196312,52403271,15153025,252550,15153024,0,15153028,182,896,14906100,23,896,182.16,80.05,178.00,231.00,302.00,368.00,446.00,663.00,1000
2018-07-31,15:56:07,3147862711,52464378,15170508,252841,15170506,0,15170501,180,1041,14913987,25,1041,180.46,76.43,177.00,230.00,294.00,347.00,419.00,640.00,1000
2018-07-31,15:57:07,3148042247,53356648,15171267,257140,15171267,0,15171267,181,1099,14904265,25,1099,181.48,81.62,176.00,230.00,298.00,377.00,458.00,697.00,1000
2018-07-31,15:58:07,3142734120,53266680,15145651,256705,15145653,0,15145656,177,762,14882687,24,762,177.76,75.32,174.00,227.00,291.00,339.00,410.00,615.00,1000
2018-07-31,15:59:07,3148450720,52474178,15173058,252884,15173056,0,15173053,187,2460,14896794,25,2460,186.26,102.16,179.00,233.00,303.00,371.00,465.00,1398.00,1000
2018-07-31,16:00:07,3147375142,53345341,15168022,257085,15168022,0,15168022,182,1670,14903957,25,1670,182.71,89.19,177.00,230.00,297.00,370.00,448.00,1103.00,1000
2018-07-31,16:01:07,3146356963,52439282,15163436,252723,15163438,0,15163442,179,1530,14906062,24,1530,179.42,82.21,175.00,228.00,291.00,355.00,443.00,749.00,1000
2018-07-31,16:02:07,3146047168,52434119,15161927,252698,15161925,0,15161921,180,1484,14915773,23,1484,180.65,80.65,176.00,230.00,292.00,347.00,434.00,705.00,1000
2018-07-31,16:03:07,3146063323,52434388,15161947,252699,15161949,0,15161956,181,1477,14901341,24,1477,181.51,79.64,178.00,231.00,294.00,346.00,423.00,688.00,1000
2018-07-31,16:04:07,3146768230,52446137,15165093,252751,15165092,0,15165088,183,1017,14905657,24,1017,183.52,80.54,179.00,233.00,307.00,368.00,440.00,669.00,1000
2018-07-31,16:05:07,3146367145,53328256,15163171,257002,15163171,0,15163172,188,3424,14888142,25,3424,188.89,132.59,179.00,233.00,308.00,383.00,478.00,2426.00,1000
2018-07-31,16:06:07,3146407383,52440123,15163474,252724,15163473,0,15163469,191,755,14899473,25,755,191.94,76.97,189.00,242.00,311.00,350.00,416.00,619.00,1000
2018-07-31,16:07:07,3148224440,53359736,15172248,257156,15172248,0,15172248,173,841,14914083,24,841,173.26,73.57,170.00,223.00,282.00,327.00,397.00,599.00,1000
2018-07-31,16:08:07,3050620681,50843678,14701771,245029,14701771,0,14701771,179,1749,14454692,25,1749,179.43,83.82,175.00,228.00,291.00,338.00,416.00,803.00,1000
2018-07-31,16:09:07,3137909806,53184911,15122097,256306,15122097,0,15122097,181,991,14880633,26,991,181.39,77.21,178.00,231.00,296.00,346.00,421.00,664.00,1000
2018-07-31,16:10:07,3178002348,52966705,15315869,255264,15315872,0,15315875,182,1124,15057894,25,1124,182.47,76.70,179.00,232.00,298.00,345.00,417.00,631.00,1000
2018-07-31,16:11:07,3145414037,53312102,15158618,256925,15158615,0,15158612,182,1577,14885973,24,1577,182.55,79.42,179.00,232.00,296.00,344.00,418.00,662.00,1000
2018-07-31,16:12:07,3146897556,53337246,15165844,257048,15165845,0,15165852,178,841,14882838,24,841,178.78,75.34,176.00,228.00,293.00,336.00,406.00,618.00,1000
2018-07-31,16:13:07,3147942200,52465703,15170864,252847,15170868,0,15170866,173,758,14917618,23,758,174.05,73.70,171.00,224.00,280.00,325.00,411.00,606.00,1000
2018-07-31,16:14:07,3146025288,53322462,15161755,256978,15161752,0,15161750,177,837,14902127,23,837,177.88,73.88,175.00,228.00,289.00,330.00,398.00,600.00,1000
2018-07-31,16:15:07,3147145847,52452430,15166589,252776,15166588,0,15166585,175,719,14888170,24,719,175.42,73.35,172.00,225.00,283.00,326.00,402.00,597.00,1000
2018-07-31,16:16:07,3146102982,53323779,15161792,256979,15161792,0,15161792,184,946,14900324,22,946,184.76,77.09,181.00,234.00,301.00,349.00,423.00,636.00,1000
2018-07-31,16:17:07,3145342143,53310883,15158497,256923,15158497,0,15158497,175,901,14913132,23,901,174.96,75.33,171.00,224.00,285.00,334.00,415.00,632.00,1000
2018-07-31,16:18:07,3145803959,52430065,15160195,252669,15160195,0,15160197,187,1513,14905743,24,1513,187.53,80.58,184.00,237.00,302.00,351.00,426.00,709.00,1000
2018-07-31,16:19:07,3147454560,53346687,15169026,257102,15169027,0,15169028,192,853,14905241,24,853,192.20,76.47,189.00,242.00,308.00,349.00,418.00,629.00,1000
2018-07-31,16:20:07,3145983394,52433056,15161544,252692,15161545,0,15161545,179,1456,14924933,23,1456,178.70,80.41,174.00,228.00,291.00,359.00,436.00,673.00,1000
2018-07-31,16:21:07,3146761834,52446030,15165389,252756,15165387,0,15165384,177,1773,14912551,24,1773,177.76,91.32,172.00,225.00,287.00,356.00,446.00,1244.00,1000
2018-07-31,16:22:07,3147401694,53345791,15168183,257087,15168185,0,15168190,176,1678,14908991,25,1678,176.10,82.76,172.00,224.00,283.00,334.00,426.00,880.00,1000
2018-07-31,16:23:07,3146742448,52445707,15165531,252758,15165529,0,15165524,184,1548,14888930,24,1548,184.51,81.51,180.00,234.00,301.00,352.00,428.00,745.00,1000
2018-07-31,16:24:07,3144396338,53294853,15153298,256835,15153301,0,15153305,173,764,14896737,21,764,173.62,74.50,170.00,223.00,282.00,329.00,404.00,621.00,1000
2018-07-31,16:25:07,3151004405,52516740,15185344,253089,15185341,0,15185337,180,1287,14932248,23,1287,180.50,76.51,177.00,230.00,293.00,334.00,403.00,644.00,1000
2018-07-31,16:26:07,3146382692,53328520,15162916,256998,15162916,0,15162916,174,980,14896455,24,980,174.29,76.31,170.00,224.00,283.00,340.00,418.00,661.00,1000
2018-07-31,16:27:07,3148698513,53367771,15174675,257197,15174675,0,15174675,180,1476,14915291,24,1476,179.75,78.99,176.00,229.00,289.00,341.00,423.00,684.00,1000
2018-07-31,16:28:07,3146059569,53323043,15161581,256975,15161581,0,15161581,178,880,14893776,24,880,178.98,73.59,176.00,229.00,289.00,329.00,395.23,595.00,1000
